,total_points_prev,current_gw,position_number,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,round,total_points,player_id
47,1.0,21,1,0.0,0.0,0.25,1.15,0.0,0.3,1.6449999999999998,0.0,0.0,0.0,18.9,2.9,2
48,2.0,22,1,0.0,0.0,0.15000000000000002,1.35,0.0,0.15,1.315,0.0,0.0,0.0,19.900000000000002,2.05,2
49,2.0,23,1,0.0,0.0,0.05,1.25,0.0,0.1,2.235,0.0,0.0,0.0,20.9,1.85,2
50,3.0,24,1,0.0,0.0,0.0,0.75,0.0,0.45,2.095,0.0,0.0,0.0,21.9,1.7999999999999998,2
51,1.0,25,1,0.0,0.0,0.0,0.8,0.0,0.3,2.4250000000000003,0.0,0.0,0.0,22.900000000000002,2.25,2
52,2.0,26,1,0.0,0.0,0.0,0.8999999999999999,0.0,0.55,2.0149999999999997,0.0,0.0,0.0,23.9,1.8499999999999999,2
53,4.0,27,1,0.0,0.0,0.0,1.3,0.0,0.4,1.12,0.0,0.0,0.0,24.900000000000002,1.85,2
54,1.0,28,1,0.0,0.0,0.0,1.25,0.4,0.2,2.275,0.0,0.0,0.0,25.9,2.7500000000000004,2
55,2.0,29,1,0.0,0.0,0.0,0.75,0.3,0.1,2.35,0.0,0.0,0.0,26.9,2.15,2
56,15.0,30,1,0.0,0.0,0.0,0.8,0.15,0.8500000000000001,2.215,0.0,0.0,0.0,27.900000000000002,1.9500000000000002,2
57,0.0,31,1,0.0,0.0,0.4,0.8999999999999999,0.1,0.6,3.42,0.0,0.0,0.4,28.9,7.25,2
58,2.0,32,1,0.0,0.0,0.3,0.49999999999999994,0.05,0.3,2.26,0.0,0.0,0.3,29.900000000000002,5.1,2
59,1.0,33,1,0.0,0.0,0.15,1.05,0.0,0.2,2.4000000000000004,0.0,0.0,0.15,30.9,3.3,2
60,0.0,34,1,0.0,0.0,0.1,0.75,0.0,0.1,2.245,0.0,0.0,0.1,31.9,2.6,2
61,0.0,35,1,0.0,0.0,0.05,0.35,0.0,0.0,1.2249999999999999,0.0,0.0,0.05,32.900000000000006,1.35,2
62,6.0,36,1,0.0,0.0,0.0,0.2,0.0,0.0,0.5700000000000001,0.0,0.0,0.0,33.9,0.35,2
63,3.0,37,1,0.0,0.0,0.4,0.9,0.0,0.0,1.0050000000000001,0.0,0.0,0.0,34.9,2.6000000000000005,2
64,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,0.0,3
65,0.0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8999999999999995,0.0,3
66,0.0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,3
67,0.0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.900000000000001,0.0,3
68,0.0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,3
69,0.0,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,3
70,0.0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,3
71,0.0,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.900000000000002,0.0,3
72,0.0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,3
73,0.0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,3
74,0.0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.899999999999999,0.0,3
75,0.0,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,3
76,0.0,18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.900000000000002,0.0,3
77,0.0,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.900000000000002,0.0,3
78,0.0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.900000000000002,0.0,3
