,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[135, 490]","[115, 425, 423, 430, 378]","[122, 40, 233, 55, 251]","[22, 257, 133]",6,65
1,"['Wayne Hennessey', 'Joe Hart']","['Marcos Alonso', 'Matt Doherty', 'Willy Boly', 'Conor Coady', 'José Holebas']","['Eden Hazard', 'Ryan Fraser', 'James Maddison', 'Anthony Knockaert', 'Sadio Mané']","['Alexandre Lacazette', 'Roberto Firmino', 'Olivier Giroud']",6,65
