,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[88, 191]","[116, 221, 484, 285, 138]","[367, 275, 276, 393, 40]","[305, 257, 234]",23,48
1,"['Neil Etheridge', 'Jonas Lössl']","['David Luiz Moreira Marinho', 'Ricardo Domingos Barbosa Pereira', 'Lucas Digne', 'Phil Jones', 'James Tomkins']","['Heung-Min Son', 'Leroy Sané', 'Bernardo Mota Veiga de Carvalho e Silva', 'Richarlison de Andrade', 'Ryan Fraser']","['Marcus Rashford', 'Roberto Firmino', 'Jamie Vardy']",23,48
