,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[468, 88]","[246, 353, 378, 72, 484]","[367, 302, 465, 300, 391]","[234, 480, 257]",20,84
1,"['Alisson Ramses Becker', 'Neil Etheridge']","['Virgil van Dijk', 'Toby Alderweireld', 'José Holebas', 'James Tarkowski', 'Lucas Digne']","['Heung-Min Son', 'Paul Pogba', 'Felipe Anderson Pereira Gomes', 'Jesse Lingard', 'Roberto Pereyra']","['Jamie Vardy', 'Aleksandar Mitrovic', 'Roberto Firmino']",20,84
