,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[468, 452]","[245, 247, 141, 113, 482]","[271, 18, 394, 270, 122]","[306, 396, 280]",30,63
1,"['Alisson Ramses Becker', 'Angus Gunn']","['Trent Alexander-Arnold', 'Andrew Robertson', 'Jeffrey Schlupp', 'César Azpilicueta', 'Fabian Schär']","['David Silva', 'Henrikh Mkhitaryan', 'Gerard Deulofeu', 'Raheem Sterling', 'Eden Hazard']","['Romelu Lukaku', 'Troy Deeney', 'Sergio Agüero']",30,63
