,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[445, 309]","[246, 312, 482, 425, 357]","[367, 300, 390, 275, 465]","[257, 234, 305]",19,54
1,"['Ben Foster', 'Martin Dubravka']","['Virgil van Dijk', 'Jamaal Lascelles', 'Fabian Schär', 'Matt Doherty', 'Kieran Trippier']","['Heung-Min Son', 'Jesse Lingard', 'Abdoulaye Doucouré', 'Leroy Sané', 'Felipe Anderson Pereira Gomes']","['Roberto Firmino', 'Jamie Vardy', 'Marcus Rashford']",19,54
