,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[282, 445]","[3, 482, 268, 247, 116]","[302, 251, 364, 42, 338]","[305, 45, 493]",24,72
1,"['David de Gea', 'Ben Foster']","['Laurent Koscielny', 'Fabian Schär', 'Aymeric Laporte', 'Andrew Robertson', 'David Luiz Moreira Marinho']","['Paul Pogba', 'Sadio Mané', 'Christian Eriksen', 'David Brooks', 'James Ward-Prowse']","['Marcus Rashford', 'Joshua King', 'Salomón Rondón']",24,72
