,total_points_prev,current_gw,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,position_number,total_points,prediction
67,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0.14498584
68,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0.144606426
69,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0.144227013
70,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0.1438476
71,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0.143468186
72,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0.143088773
73,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0.14270936
74,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0.142329946
75,0,18,0,0,0,2.4,0,0,1.36,0,0,0,2,0,1.282013178
76,2,19,0,0,0,1.8,0,0,1.02,0,0,0,2,0,0.992746949
77,1,20,0,0,0,2.5,0,0,1.35,0,0,0,2,0.8,1.390348673
78,2,21,0,0,0,2.6,0,0,1.33,0,0,0,2,1,1.455893874
79,2,22,0,0,0,5.5,0,0,1.995,0,0,0,2,1.4,2.500707626
80,15,23,0,0,0,4.5,0,0,2.035,0,0,0,2,1.75,2.643520832
81,0,24,0,0,0.4,9.3,0,0,5.39,0,0,0,2,7.1,7.162875652
82,7,25,0,0,0.3,6.5,0,0,3.76,0,0,0,2,5.05,5.140058517
83,3,26,0,0,0.15,7.25,0,0,5.505,0,0,0,2,5.35,6.527839661
84,1,27,0,0,0.1,10.4,0,0,5.435,0,0,0,2,4.9,6.801759243
85,9,28,0,0,0.05,7.35,0,0,3.19,0,0,0,2,3.1,4.332575321
86,2,29,0,0,0,6.9,0,0,4.51,0,0,0,2,5.05,5.316385746
87,6,30,0,0,0,8.2,0,0,3.965,0,0,0,2,4.3,5.096432209
88,0,31,0,0,0.4,6.4,0,0,3.185,0.4,0,0,2,4.6,4.963058949
89,0,32,0,0,0.3,3.45,0,0,1.975,0.3,0,0,2,3.05,3.268942595
90,9,33,0,0,0.15,1.9,0,0,1.035,0.15,0,0,2,1.55,2.148054361
91,1,34,0,0,0.5,4.05,0,0,1.41,0.1,0,0,2,4.3,3.400224924
92,1,35,0,0,0.35,4.2,0.4,0,2.18,0.05,0,0,2,3.4,3.89814949
93,0,36,0,0,0.15,3.2,0.3,0,2.215,0,0,0,2,2.05,3.360426664
94,0,37,0,0,0.1,3.2,0.15,0,2.15,0.4,0,0,2,1.35,3.182180882
95,6,6,0.15,0.25,0,3.65,0.45,0,3.475,0.3,0,0,2,1.7,2.97321701
96,8,7,0.1,0.15,0.4,3.65,0.7,0,3.985,0.15,0,0,2,3.55,4.012774467
97,5,8,0.05,0.05,0.7,3.75,0.45,0,3.385,0.05,0,0,2,5.55,3.955327511
98,7,9,0.4,0,0.45,3.4,1.05,0,4.835,0.4,0,0,2,5.5,5.237039089
99,1,10,1.1,0.4,0.25,2.45,0.75,0,6.19,1.1,0,0,2,6.2,6.754070282
100,2,11,0.75,0.3,0.15,2.15,0.75,0,5.17,0.75,0,0,2,4.35,5.14662075
101,1,12,0.4,0.15,0.05,2.05,0.9,0,4.07,0.4,0,0,2,3.05,3.474845171
102,2,13,0.25,0.5,0,1.15,0.95,0,3.79,0.65,0,0,2,2.1,2.94405818
103,1,14,0.1,0.35,0,0.55,0.55,0,3.735,0.4,0,0,2,1.85,2.574021101
104,0,15,0,0.15,0,1.1,1.1,0,4.71,0.15,0,0,2,1.4,3.518499136
105,6,16,0,0.1,0,1.1,1.15,0,4.275,0.1,0,0,2,0.8,3.227796078
106,0,17,0,0.05,0.4,1,1.05,0,2.89,0.05,0,0,2,2.8,2.776034832
107,0,18,0,0,0.3,1.45,0.65,0,1.74,0,0,0,2,2,1.614049911
108,0,19,0,0,0.15,0.95,0.35,0,0.88,0,0,0,2,0.95,0.82114315
109,0,20,0,0,0.1,0.45,0.15,0,0.305,0,0,0,2,0.6,0.397249073
110,0,21,0,0,0.05,0.25,0.05,0,0.08,0,0,0,2,0.3,0.18976149
111,1,22,0,0,0,0.1,0,0,0.015,0,0,0,2,0,0.149293184
112,11,23,0,0,0,0.4,0,0,0.16,0,0,0,2,0.4,0.891129017
113,0,24,0.4,0,0.4,3.1,0.8,0,2.48,0.4,0,0,2,4.7,3.383369207
114,0,25,0.3,0,0.3,2.25,0.6,0,1.83,0.3,0,0,2,3.45,2.35027647
115,0,26,0.15,0,0.15,1.15,0.3,0,0.925,0.15,0,0,2,1.75,0.962724209
116,0,27,0.1,0,0.1,0.75,0.2,0,0.61,0.1,0,0,2,1.15,0.659846067
117,0,28,0.05,0,0.05,0.35,0.1,0,0.295,0.05,0,0,2,0.55,0.356967747
118,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0.130533561
119,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0.130154148
120,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0.129774734
121,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0.129395336
122,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0.129015923
123,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0.128636494
124,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0.128257096
125,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0.127877668
126,0,37,0,0,0,0,0,0,0,0,0,0,2,0,0.128509477
127,6,6,0,0,0,5.4,0.3,0,4.93,0.1,0,0,2,2.4,3.82574892
128,6,7,0,0,0.4,4.25,0.15,0,5.17,0.45,0,0,2,4.05,4.419489384
129,5,8,0,0,0.7,3.55,0.1,0,4.81,0.7,0,0,2,5,4.481589317
130,0,9,0.4,0.4,0.45,3,0.05,0.4,4.245,0.85,0,0,2,4.9,3.891628265
131,0,10,0.3,0.3,0.25,1.6,0,0.3,2.53,0.55,0,0,2,3.1,2.280213118
132,0,11,0.15,0.15,0.15,0.7,0,0.15,1.305,0.3,0,0,2,1.65,1.13432467
133,0,12,0.1,0.1,0.05,0.35,0,0.1,0.62,0.15,0,0,2,0.8,0.545482755
134,0,13,0.05,0.05,0,0.1,0,0.05,0.205,0.05,0,0,2,0.25,0.202246889
135,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0.128981337
136,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0.128601938
137,1,16,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
138,5,17,0,0,0,0.4,0,0,0.16,0,0,0,2,0.4,0.490371346
139,1,18,0.4,0.4,0,1.9,0,0,2.56,0.8,0,0,2,2.3,2.01598382
140,0,19,0.3,0.3,0,2.15,0,0,2.45,0.6,0,0,2,2.05,1.826813221
141,0,20,0.15,0.15,0,1.3,0,0,1.375,0.3,0,0,2,1.15,0.98444891
142,0,21,0.1,0.1,0,0.75,0,0,0.84,0.2,0,0,2,0.7,0.624302864
143,0,22,0.05,0.05,0,0.4,0,0,0.445,0.1,0,0,2,0.35,0.356044233
144,0,23,0,0,0,0.1,0,0,0.07,0,0,0,2,0.05,0.127655372
145,1,24,0,0,0,0,0,0,0,0,0,0,2,0,0.140144616
146,5,25,0,0,0,2,0,0,0.76,0,0,0,2,0.4,0.965031981
147,2,26,0.4,0.4,0,4.3,0.4,0,2.37,0.4,0,0,2,2.3,2.262696266
148,0,27,0.3,0.3,0,4.45,0.3,0,2.395,0.3,0,0,2,2.45,2.061987877
149,2,28,0.15,0.15,0,2.75,0.15,0,1.435,0.15,0,0,2,1.45,1.327931762
150,2,29,0.1,0.1,0,4.75,0.1,0,1.75,0.1,0,0,2,1.65,1.632816553
151,6,30,0.05,0.45,0,5.55,0.85,0,2.665,0.45,0,0,2,1.85,2.501722097
152,5,31,0,0.3,0.4,4.4,0.6,0,2.13,0.3,0,0,2,3.4,2.531538725
153,1,32,0,0.15,0.7,3.4,0.3,0,2.005,0.15,0,0,2,4.3,2.820664406
154,8,33,0,0.1,0.45,3.65,0.6,0,2.42,0.1,0,0,2,3.1,2.868698597
155,0,34,0,0.05,0.65,3.7,0.4,0,2.905,0.45,0,0,2,4.95,3.615800858
156,0,35,0,0,0.45,2.15,0.15,0,1.765,0.3,0,0,2,3.35,1.921979189
157,0,36,0,0,0.2,2.3,0.1,0,2.32,0.55,0,0,2,1.55,1.901788712
158,6,37,0,0,0.1,1.5,0.05,0,1.55,0.4,0,0,2,0.85,1.478741884
159,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
160,9,7,0,0,0,2.4,0,0,0.52,0,0,0,2,0.4,1.099564433
161,2,8,0,0,0.4,5.8,0.4,0,1.43,0,0,0,2,3.9,2.067392826
162,1,9,0,0,0.3,5.9,0.3,0,1.895,0,0,0,2,3.65,2.140280485
163,1,10,0,0,0.15,4.8,0.55,0,2.25,0,0,0,2,2.45,2.038752079
164,4,11,0,0,0.1,5.75,0.4,0,2.17,0,0,0,2,1.95,2.16921711
165,2,12,0,0,0.05,7.55,0.2,0,2.69,0,0,0,2,2.7,2.448765278
166,2,13,0,0,0,5.4,0.5,0,2.615,0,0,0,2,2.35,2.137819767
167,1,14,0,0,0,4.15,0.35,0,2.805,0.4,0,0,2,2.15,1.98794651
168,1,15,0,0,0,5.35,0.15,0,2.905,0.7,0,0,2,1.75,2.092490435
169,0,16,0,0,0,4.45,0.1,0,2.035,0.45,0,0,2,1.4,1.449944496
170,0,17,0,0,0,2.35,0.05,0,1.08,0.25,0,0,2,0.75,0.776432753
171,0,18,0,0,0,1.3,0,0,0.555,0.15,0,0,2,0.35,0.425117433
172,0,19,0,0,0,0.65,0,0,0.215,0.05,0,0,2,0.15,0.20971173
173,0,20,0,0,0,0.15,0,0,0.035,0,0,0,2,0.05,0.125058204
174,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
175,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
176,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
177,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
178,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
179,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
180,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
181,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
182,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
183,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
184,0,31,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
185,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
186,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
187,0,34,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
188,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
189,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
190,0,37,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
191,6,6,0,0,0,8.6,0,0,5.83,0.4,0,0,2,3.55,4.544251442
192,5,7,0,0,0.4,7.95,0,0,3.915,0.2,0,0,2,4.4,3.886976719
193,2,8,0,0,0.7,8.2,0,0,3.36,0.1,0,0,2,5,3.862565041
194,2,9,0,0,0.45,8.4,0,0,2.895,0.05,0,0,2,3.8,3.220995188
195,1,10,0,0,0.25,8.3,0,0,2.795,0,0,0,2,2.85,2.791445017
196,2,11,0,0,0.15,9,0,0,2.85,0,0,0,2,2.1,2.796370745
197,2,12,0,0,0.05,11.15,0,0,3.525,0,0,0,2,1.85,3.262210608
198,2,13,0,0,0,8.15,0.4,0,3.35,0,0,0,2,1.85,2.815248251
199,0,14,0,0,0,7.2,0.3,0,2.92,0,0,0,2,1.9,2.329794168
200,7,15,0,0,0,7.25,0.15,0,4.53,0.4,0,0,2,1.15,3.654112339
201,5,16,0,0,0,7.35,0.1,0,5.565,0.3,0,0,2,3.4,4.191703796
202,0,17,0,0,0.4,5.5,0.05,0,3.7,0.15,0,0,2,4.4,3.198845387
203,0,18,0,0,0.3,3.15,0,0,2.035,0.1,0,0,2,2.65,1.799322844
204,0,19,0,0,0.15,1.6,0,0,1.12,0.05,0,0,2,1.45,0.974928379
205,-1,20,0,0,0.1,0.7,0,0,0.405,0,0,0,2,0.85,0.396063715
206,1,21,0,0,0.05,0.55,0,0,0.12,0,0,0,2,-0.15,0.295499384
207,0,22,0,0,0,1.1,0,0,0.26,0,0,0,2,0.1,0.287953377
208,0,23,0,0,0,2.35,0.4,0,0.78,0,0,0,2,0.15,0.695025682
209,2,24,0,0,0,1.6,0.3,0,0.545,0,0,0,2,0.05,0.630280018
210,1,25,0,0,0,4.85,0.15,0,2.525,0,0,0,2,0.85,1.897718787
211,2,26,0,0,0,5.5,0.1,0,2.375,0,0,0,2,1.05,1.941007972
212,6,27,0,0,0,7.6,0.05,0,2.225,0,0,0,2,1.4,2.308612585
213,0,28,0,0,0.4,8.25,0.8,0,2.645,0,0,0,2,3.35,2.85727787
214,2,29,0,0,0.3,5.05,0.6,0,1.655,0,0,0,2,2.3,1.955933332
215,0,30,0,0,0.15,4.55,0.7,0,1.145,0,0,0,2,1.95,1.315042377
216,8,31,0,0,0.1,2.85,0.5,0,0.715,0,0,0,2,1.3,1.378114223
217,1,32,0,0,0.45,5.95,1.05,0,1.42,0,0,0,2,3.8,2.077499628
218,7,33,0,0,0.3,6.9,0.7,0,3.1,0.4,0,0,2,3,3.174402714
219,0,34,0,0,0.55,7.75,0.35,0,3.01,0.3,0,0,2,4.4,3.153958559
220,0,35,0,0,0.4,6.95,0.2,0.4,2.38,0.15,0,0,2,3.05,2.522097826
221,1,36,0,0,0.2,4.15,0.1,0.3,1.475,0.1,0,0,2,1.55,1.581447721
222,1,37,0,0,0.1,3.2,0,0.15,1.605,0.05,0,0,2,1.15,1.420111418
223,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
224,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
225,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
226,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
227,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0.125058204
228,2,11,0,0,0,0,0,0,0,0,0,0,2,0,0.160319537
229,2,12,0,0.4,0,1.2,0,0,1.32,0.4,0,0,2,0.8,0.967681289
230,11,13,0,0.3,0,0.9,0,0,1.55,0.3,0,0,2,1.4,1.64662075
231,1,14,0.8,0.55,0,1.25,0.4,0,3.995,0.95,0,0,2,5.3,3.165337086
232,1,15,0.6,0.4,0,1.3,0.7,0,6.45,2.7,0,0,2,4.2,4.155073166
233,8,16,0.3,1,0,0.75,0.45,0.4,6.56,3.05,0,0,2,2.65,4.431358337
234,0,17,0.2,0.7,0.4,0.75,0.25,0.3,5.47,2.25,0,0,2,4.85,3.837459326
235,6,18,0.1,0.35,0.3,0.5,0.15,0.15,3.295,1.35,0,0,2,3.2,2.631542444
236,1,19,0.4,0.2,0.15,1,0.45,0.1,3.725,1.5,0,0,2,3.75,2.639832258
237,0,20,0.3,0.1,0.1,2.3,0.3,0.05,2.58,0.85,0,0,2,3.05,1.904352546
238,7,21,0.15,0,0.05,3.15,0.15,0,1.42,0.35,0,0,2,1.6,1.657568574
239,1,22,0.5,1.2,0,2,0.9,0,4.36,1.8,0,0,2,3.55,3.21048975
240,6,23,0.35,0.9,0,2.3,0.65,0,4.37,1.7,0,0,2,2.9,3.322009563
241,5,24,0.15,0.45,0.4,3.5,0.7,0,5.225,1.7,0,0,2,3.8,4.208465576
242,1,25,0.5,0.3,0.3,4.95,0.5,0,5.765,1.55,0,0,2,4.65,4.582023621
