,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[88, 191]","[221, 142, 49, 116, 353]","[302, 367, 150, 276, 40]","[305, 257, 234]",22,57
1,"['Neil Etheridge', 'Jonas Lössl']","['Ricardo Domingos Barbosa Pereira', 'Patrick van Aanholt', 'Shane Duffy', 'David Luiz Moreira Marinho', 'Toby Alderweireld']","['Paul Pogba', 'Heung-Min Son', 'Luka Milivojevic', 'Bernardo Mota Veiga de Carvalho e Silva', 'Ryan Fraser']","['Marcus Rashford', 'Roberto Firmino', 'Jamie Vardy']",22,57
