,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[452, 260]","[12, 484, 162, 5, 402]","[504, 343, 150, 338, 534]","[493, 175, 234]",32,90
1,"['Angus Gunn', 'Ederson Santana de Moraes']","['Sokratis Papastathopoulos', 'Lucas Digne', 'Michael Keane', 'Nacho Monreal', 'Aaron Cresswell']","['Víctor Camarasa', 'Nathan Redmond', 'Luka Milivojevic', 'James Ward-Prowse', 'Dwight McNeil']","['Salomón Rondón', 'Dominic Calvert-Lewin', 'Jamie Vardy']",32,90
