,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[468, 260]","[247, 49, 312, 113, 141]","[18, 302, 394, 254, 279]","[493, 306, 22]",29,68
1,"['Alisson Ramses Becker', 'Ederson Santana de Moraes']","['Andrew Robertson', 'Shane Duffy', 'Jamaal Lascelles', 'César Azpilicueta', 'Jeffrey Schlupp']","['Henrikh Mkhitaryan', 'Paul Pogba', 'Gerard Deulofeu', 'James Milner', 'Oleksandr Zinchenko']","['Salomón Rondón', 'Romelu Lukaku', 'Alexandre Lacazette']",29,68
