,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[490, 135]","[332, 115, 378, 336, 423]","[295, 415, 344, 459, 122]","[306, 22, 62]",4,124
1,"['Joe Hart', 'Wayne Hennessey']","['Cédric Soares', 'Marcos Alonso', 'José Holebas', 'Wesley Hoedt', 'Willy Boly']","['Alexis Sánchez', 'Michail Antonio', 'Mario Lemina', 'Jorge Luiz Frello Filho', 'Eden Hazard']","['Romelu Lukaku', 'Alexandre Lacazette', 'Glenn Murray']",4,124
