,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[154, 498]","[526, 90, 268, 72, 245]","[40, 249, 249, 394, 317]","[87, 43, 480]",35,85
1,"['Jordan Pickford', 'Kepa Arrizabalaga']","['Kurt Zouma', 'Sean Morrison', 'Aymeric Laporte', 'James Tarkowski', 'Trent Alexander-Arnold']","['Ryan Fraser', 'Jordan Henderson', 'Jordan Henderson', 'Gerard Deulofeu', 'Matt Ritchie']","['Chris Wood', 'Callum Wilson', 'Aleksandar Mitrovic']",35,85
