,total_points_prev,assists,big_chances_created,clean_sheets,clearances_blocks_interceptions,dribbles,errors_leading_to_goal,ict_index,key_passes,penalties_missed,penalties_saved,total_points
90,0,0,0,0.5,5.45,1,0,2.925,0,0,0,3.7
91,0,0,0,0.35,5.85,1,0,2.14,0,0,0,2.45
92,0,0,0,0.15,3.5,0.65,0,1.11,0,0,0,1.05
93,0,0,0,0.1,1.7,0.35,0,0.535,0,0,0,0.65
94,0,0,0,0.05,0.9,0.15,0,0.245,0,0,0,0.3
95,11,0,0,0.1,4.7,2.05,0,3.625,0.75,0,0,2.6
96,6,0.4,0.4,0.45,4.35,1.2,0,4.875,1.3,0,0,5.95
97,4,0.3,0.3,0.7,3,0.6,0,4.625,1.2,0,0,6.3
98,7,0.55,0.15,0.45,3.2,0.65,0,6.365,0.7,0,0,5.35
99,2,0.4,0.1,0.65,5.15,1.55,0,5.52,0.4,0,0,6.1
100,2,0.2,0.05,0.45,4.1,1.45,0,4.465,0.6,0,0,4.65
101,0,0.1,0,0.2,4.25,1.65,0,3.955,0.35,0,0,3.15
102,0,0.05,0,0.1,2.8,1.1,0,2.29,0.15,0,0,1.8
103,0,0,0,0.05,1.35,0.55,0,1,0.1,0,0,0.85
104,6,0,0,0,0.6,0.25,0,0.5,0.05,0,0,0.3
105,1,0.4,0,0,1.45,0.5,0,4.045,1.2,0,0,2.5
106,1,0.3,0,0,2.1,0.7,0,3.51,0.9,0,0,2.2
107,7,0.15,0,0,2.55,0.85,0,2.265,0.45,0,0,1.6
108,8,0.1,0,0.4,1.65,2.55,0,3.225,0.3,0,0,3.85
109,0,0.05,0,0.7,3.3,2.6,0,4.21,0.55,0,0,5.85
110,0,0,0,0.45,2.25,1.5,0,2.695,0.3,0,0,3.6
111,1,0,0,0.25,1.05,0.85,0,1.49,0.15,0,0,1.95
112,0,0,0,0.15,0.6,0.45,0,0.935,0.1,0,0,1.55
113,1,0,0,0.05,0.3,0.1,0,0.395,0.05,0,0,0.7
114,6,0,0,0,0,0,0,0.105,0,0,0,0.55
115,1,0,0,0.4,1.6,0,0,1.37,0.4,0,0,2.8
116,1,0,0,0.3,2.8,0.4,0,2.655,0.3,0,0,2.4
117,1,0,0,0.15,2.6,1.5,0,3.015,0.55,0,0,1.7
118,5,0,0,0.1,2.4,1.05,0,2.87,0.8,0,0,1.5
119,1,0,0,0.45,2.3,1.75,0,4.255,1.3,0,0,2.85
120,1,0,0,0.3,2.5,2.45,0,3.985,0.85,0,0,2.2
121,7,0,0.4,0.15,1.5,1.5,0,2.74,0.85,0,0,1.6
122,1,0,0.3,0.5,1.95,1.95,0,4.685,1.75,0,0,3.8
123,1,0,0.15,0.35,1.7,1.35,0,3.26,1.15,0,0,3
124,0,0,0.1,0.15,0.9,1,0,1.575,0.55,0,0,1.9
125,9,0,0.05,0.1,0.85,1,0,2.875,1.15,0,0,1.2
126,5,0.8,0.4,0.05,1.35,1,0,5.745,1.55,0,0,4.2
127,1,0,0,0,0.15,0.15,0,0.06,0,0,0,0.15
128,0,0,0,0,0.9,0.5,0,1.72,0.8,0,0,0.5
129,1,0,0,0,0.65,0.35,0,1.28,0.6,0,0,0.35
130,0,0,0,0,0.3,0.15,0,0.71,0.3,0,0,0.55
131,4,0,0,0,0.2,0.1,0,0.48,0.2,0,0,0.4
132,0,0.4,0,0,3.7,0.85,0,3.8,1.3,0,0,1.8
133,0,0.3,0,0,2.7,0.6,0,2.69,0.9,0,0,1.3
134,0,0.15,0,0,1.35,0.3,0,1.345,0.45,0,0,0.65
135,0,0.1,0,0,0.9,0.2,0,0.89,0.3,0,0,0.4
136,0,0.05,0,0,0.45,0.1,0,0.445,0.15,0,0,0.2
137,5,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0.4,2,0.4,0,3.44,1.2,0,0,2
139,0,0,0,0.3,1.5,0.3,0,2.58,0.9,0,0,1.5
140,0,0,0,0.15,0.75,0.15,0,1.29,0.45,0,0,0.75
141,0,0,0,0.1,0.5,0.1,0,0.86,0.3,0,0,0.5
142,0,0,0,0.05,0.25,0.05,0,0.43,0.15,0,0,0.25
143,5,0,0,0,0,0,0,0,0,0,0,0
