,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[509, 260]","[526, 268, 245, 113, 484]","[40, 122, 364, 172, 317]","[326, 87, 480]",36,77
1,"['Sergio Rico', 'Ederson Santana de Moraes']","['Kurt Zouma', 'Aymeric Laporte', 'Trent Alexander-Arnold', 'César Azpilicueta', 'Lucas Digne']","['Ryan Fraser', 'Eden Hazard', 'Christian Eriksen', 'Gylfi Sigurdsson', 'Matt Ritchie']","['Ayoze Pérez', 'Chris Wood', 'Aleksandar Mitrovic']",36,77
