,goalkeepers,defenders,midfielders,forwards,gameweek
0,"[88, 468]","[549, 115, 267, 221, 27]","[253, 254, 365, 575, 164]","[280, 579, 396]",2
1,"['Neil Etheridge', 'Alisson Ramses Becker']","['Juan Foyth', 'Marcos Alonso', 'Benjamin Mendy', 'Ricardo Domingos Barbosa Pereira', 'Steve Cook']","['Mohamed Salah', 'James Milner', 'Bamidele Alli', 'Ryan Babel', 'Theo Walcott']","['Sergio Agüero', 'Gonzalo Higuaín', 'Troy Deeney']",2
