,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[468, 498]","[246, 222, 138, 118, 215]","[270, 275, 206, 367, 149]","[579, 23, 437]",15,41
1,"['Alisson Ramses Becker', 'Kepa Arrizabalaga']","['Virgil van Dijk', 'Jonny Evans', 'James Tomkins', 'Antonio Rüdiger', 'Wes Morgan']","['Raheem Sterling', 'Leroy Sané', 'Alex Pritchard', 'Heung-Min Son', 'Andros Townsend']","['Gonzalo Higuaín', 'Pierre-Emerick Aubameyang', 'Raúl Jiménez']",15,41
