,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[154, 498]","[484, 246, 264, 31, 113]","[270, 271, 251, 432, 394]","[22, 326, 437]",31,47
1,"['Jordan Pickford', 'Kepa Arrizabalaga']","['Lucas Digne', 'Virgil van Dijk', 'Nicolás Otamendi', 'Nathan Aké', 'César Azpilicueta']","['Raheem Sterling', 'David Silva', 'Sadio Mané', 'Diogo Jota', 'Gerard Deulofeu']","['Alexandre Lacazette', 'Ayoze Pérez', 'Raúl Jiménez']",31,47
