,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[509, 260]","[268, 526, 246, 455, 180]","[432, 507, 251, 122, 40]","[43, 234, 326]",37,72
1,"['Sergio Rico', 'Ederson Santana de Moraes']","['Aymeric Laporte', 'Kurt Zouma', 'Virgil van Dijk', 'Maxime Le Marchand', 'Tim Ream']","['Diogo Jota', 'Bernard Anício Caldeira Duarte', 'Sadio Mané', 'Eden Hazard', 'Ryan Fraser']","['Callum Wilson', 'Jamie Vardy', 'Ayoze Pérez']",37,72
