,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[135, 454]","[425, 49, 265, 143, 516]","[122, 40, 271, 453, 149]","[133, 45, 280]",5,148
1,"['Wayne Hennessey', 'Rui Pedro dos Santos Patrício']","['Matt Doherty', 'Shane Duffy', 'Kyle Walker', 'Mamadou Sakho', 'Federico Fernández']","['Eden Hazard', 'Ryan Fraser', 'David Silva', 'Andriy Yarmolenko', 'Andros Townsend']","['Olivier Giroud', 'Joshua King', 'Sergio Agüero']",5,148
