,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[452, 400]","[246, 141, 484, 293, 219]","[271, 270, 251, 223, 122]","[306, 493, 326]",31,35
1,"['Angus Gunn', 'Lukasz Fabianski']","['Virgil van Dijk', 'Jeffrey Schlupp', 'Lucas Digne', 'Ashley Young', 'Benjamin Chilwell']","['David Silva', 'Raheem Sterling', 'Sadio Mané', 'Riyad Mahrez', 'Eden Hazard']","['Romelu Lukaku', 'Salomón Rondón', 'Ayoze Pérez']",31,35
