,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[24, 509]","[245, 91, 48, 484, 425]","[271, 301, 253, 40, 465]","[280, 372, 480]",14,49
1,"['Asmir Begovic', 'Sergio Rico']","['Trent Alexander-Arnold', 'Sol Bamba', 'Lewis Dunk', 'Lucas Digne', 'Matt Doherty']","['David Silva', 'Anthony Martial', 'Mohamed Salah', 'Ryan Fraser', 'Felipe Anderson Pereira Gomes']","['Sergio Agüero', 'Harry Kane', 'Aleksandar Mitrovic']",14,49
