,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[282, 351]","[221, 220, 266, 9, 247]","[302, 253, 338, 432, 251]","[45, 437, 305]",25,66
1,"['David de Gea', 'Hugo Lloris']","['Ricardo Domingos Barbosa Pereira', 'Harry Maguire', 'Danilo Luiz da Silva', 'Calum Chambers', 'Andrew Robertson']","['Paul Pogba', 'Mohamed Salah', 'James Ward-Prowse', 'Diogo Jota', 'Sadio Mané']","['Joshua King', 'Raúl Jiménez', 'Marcus Rashford']",25,66
