,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[509, 2]","[484, 245, 157, 425, 31]","[122, 253, 40, 276, 100]","[579, 234, 43]",38,50
1,"['Sergio Rico', 'Bernd Leno']","['Lucas Digne', 'Trent Alexander-Arnold', 'Seamus Coleman', 'Matt Doherty', 'Nathan Aké']","['Eden Hazard', 'Mohamed Salah', 'Ryan Fraser', 'Bernardo Mota Veiga de Carvalho e Silva', 'Nathaniel Mendez-Laing']","['Gonzalo Higuaín', 'Jamie Vardy', 'Callum Wilson']",38,50
