,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[509, 490]","[245, 9, 91, 49, 425]","[275, 270, 122, 253, 149]","[493, 23, 480]",15,47
1,"['Sergio Rico', 'Joe Hart']","['Trent Alexander-Arnold', 'Calum Chambers', 'Sol Bamba', 'Shane Duffy', 'Matt Doherty']","['Leroy Sané', 'Raheem Sterling', 'Eden Hazard', 'Mohamed Salah', 'Andros Townsend']","['Salomón Rondón', 'Pierre-Emerick Aubameyang', 'Aleksandar Mitrovic']",15,47
