,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[474, 1]","[378, 267, 286, 355, 142]","[251, 253, 391, 393, 365]","[43, 327, 437]",2,69
1,"['Fabricio Agosto Ramírez', 'Petr Cech']","['José Holebas', 'Benjamin Mendy', 'Luke Shaw', 'Jan Vertonghen', 'Patrick van Aanholt']","['Sadio Mané', 'Mohamed Salah', 'Roberto Pereyra', 'Richarlison de Andrade', 'Bamidele Alli']","['Callum Wilson', 'Jose Luis Mato Sanmartín', 'Raúl Jiménez']",2,69
