,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[154, 400]","[425, 48, 245, 115, 484]","[270, 253, 301, 271, 40]","[134, 280, 43]",13,74
1,"['Jordan Pickford', 'Lukasz Fabianski']","['Matt Doherty', 'Lewis Dunk', 'Trent Alexander-Arnold', 'Marcos Alonso', 'Lucas Digne']","['Raheem Sterling', 'Mohamed Salah', 'Anthony Martial', 'David Silva', 'Ryan Fraser']","['Álvaro Morata', 'Sergio Agüero', 'Callum Wilson']",13,74
