,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[509, 2]","[245, 219, 484, 90, 425]","[253, 343, 251, 364, 40]","[326, 43, 234]",37,70
1,"['Sergio Rico', 'Bernd Leno']","['Trent Alexander-Arnold', 'Benjamin Chilwell', 'Lucas Digne', 'Sean Morrison', 'Matt Doherty']","['Mohamed Salah', 'Nathan Redmond', 'Sadio Mané', 'Christian Eriksen', 'Ryan Fraser']","['Ayoze Pérez', 'Callum Wilson', 'Jamie Vardy']",37,70
