,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[191, 88]","[221, 425, 484, 246, 195]","[302, 253, 367, 122, 465]","[305, 257, 372]",21,75
1,"['Jonas Lössl', 'Neil Etheridge']","['Ricardo Domingos Barbosa Pereira', 'Matt Doherty', 'Lucas Digne', 'Virgil van Dijk', 'Mathias Jorgensen']","['Paul Pogba', 'Mohamed Salah', 'Heung-Min Son', 'Eden Hazard', 'Felipe Anderson Pereira Gomes']","['Marcus Rashford', 'Roberto Firmino', 'Harry Kane']",21,75
