,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[400, 25]","[141, 49, 286, 219, 142]","[59, 122, 302, 364, 367]","[280, 437, 85]",27,38
1,"['Lukasz Fabianski', 'Artur Boruc']","['Jeffrey Schlupp', 'Shane Duffy', 'Luke Shaw', 'Benjamin Chilwell', 'Patrick van Aanholt']","['Pascal Groß', 'Eden Hazard', 'Paul Pogba', 'Christian Eriksen', 'Heung-Min Son']","['Sergio Agüero', 'Raúl Jiménez', 'Ashley Barnes']",27,38
