,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[88, 191]","[246, 484, 378, 479, 195]","[122, 253, 465, 367, 343]","[23, 372, 480]",20,72
1,"['Neil Etheridge', 'Jonas Lössl']","['Virgil van Dijk', 'Lucas Digne', 'José Holebas', 'Matt Targett', 'Mathias Jorgensen']","['Eden Hazard', 'Mohamed Salah', 'Felipe Anderson Pereira Gomes', 'Heung-Min Son', 'Nathan Redmond']","['Pierre-Emerick Aubameyang', 'Harry Kane', 'Aleksandar Mitrovic']",20,72
