,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[445, 351]","[246, 8, 91, 423, 482]","[233, 571, 18, 302, 254]","[151, 493, 22]",29,45
1,"['Ben Foster', 'Hugo Lloris']","['Virgil van Dijk', 'Sead Kolasinac', 'Sol Bamba', 'Willy Boly', 'Fabian Schär']","['James Maddison', 'Harvey Barnes', 'Henrikh Mkhitaryan', 'Paul Pogba', 'James Milner']","['Wilfried Zaha', 'Salomón Rondón', 'Alexandre Lacazette']",29,45
