,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[2, 213]","[245, 219, 331, 484, 113]","[122, 253, 40, 343, 251]","[326, 87, 234]",36,101
1,"['Bernd Leno', 'Kasper Schmeichel']","['Trent Alexander-Arnold', 'Benjamin Chilwell', 'Maya Yoshida', 'Lucas Digne', 'César Azpilicueta']","['Eden Hazard', 'Mohamed Salah', 'Ryan Fraser', 'Nathan Redmond', 'Sadio Mané']","['Ayoze Pérez', 'Chris Wood', 'Jamie Vardy']",36,101
