,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[400, 498]","[247, 221, 403, 402, 193]","[122, 393, 507, 317, 199]","[234, 257, 45]",34,29
1,"['Lukasz Fabianski', 'Kepa Arrizabalaga']","['Andrew Robertson', 'Ricardo Domingos Barbosa Pereira', 'Angelo Ogbonna', 'Aaron Cresswell', 'Chris Löwe']","['Eden Hazard', 'Richarlison de Andrade', 'Bernard Anício Caldeira Duarte', 'Matt Ritchie', 'Aaron Mooy']","['Jamie Vardy', 'Roberto Firmino', 'Joshua King']",34,29
