,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[178, 490]","[220, 483, 425, 380, 484]","[270, 122, 172, 276, 233]","[280, 372, 437]",8,59
1,"['Marcus Bettinelli', 'Joe Hart']","['Harry Maguire', 'Jonathan Castro Otto', 'Matt Doherty', 'Christian Kabasele', 'Lucas Digne']","['Raheem Sterling', 'Eden Hazard', 'Gylfi Sigurdsson', 'Bernardo Mota Veiga de Carvalho e Silva', 'James Maddison']","['Sergio Agüero', 'Harry Kane', 'Raúl Jiménez']",8,59
