,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[2, 351]","[141, 91, 221, 8, 423]","[233, 364, 254, 489, 150]","[85, 493, 151]",28,36
1,"['Bernd Leno', 'Hugo Lloris']","['Jeffrey Schlupp', 'Sol Bamba', 'Ricardo Domingos Barbosa Pereira', 'Sead Kolasinac', 'Willy Boly']","['James Maddison', 'Christian Eriksen', 'James Milner', 'Robert Snodgrass', 'Luka Milivojevic']","['Ashley Barnes', 'Salomón Rondón', 'Wilfried Zaha']",28,36
