,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[509, 490]","[484, 425, 90, 9, 293]","[253, 122, 489, 390, 367]","[305, 23, 306]",17,52
1,"['Sergio Rico', 'Joe Hart']","['Lucas Digne', 'Matt Doherty', 'Sean Morrison', 'Calum Chambers', 'Ashley Young']","['Mohamed Salah', 'Eden Hazard', 'Robert Snodgrass', 'Abdoulaye Doucouré', 'Heung-Min Son']","['Marcus Rashford', 'Pierre-Emerick Aubameyang', 'Romelu Lukaku']",17,52
