,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[351, 445]","[221, 247, 116, 138, 484]","[302, 253, 40, 270, 338]","[305, 372, 396]",24,34
1,"['Hugo Lloris', 'Ben Foster']","['Ricardo Domingos Barbosa Pereira', 'Andrew Robertson', 'David Luiz Moreira Marinho', 'James Tomkins', 'Lucas Digne']","['Paul Pogba', 'Mohamed Salah', 'Ryan Fraser', 'Raheem Sterling', 'James Ward-Prowse']","['Marcus Rashford', 'Harry Kane', 'Troy Deeney']",24,34
