,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[88, 445]","[484, 72, 479, 197, 293]","[253, 489, 390, 122, 275]","[257, 281, 305]",18,48
1,"['Neil Etheridge', 'Ben Foster']","['Lucas Digne', 'James Tarkowski', 'Matt Targett', 'Florent Hadergjonaj', 'Ashley Young']","['Mohamed Salah', 'Robert Snodgrass', 'Abdoulaye Doucouré', 'Eden Hazard', 'Leroy Sané']","['Roberto Firmino', 'Gabriel Fernando de Jesus', 'Marcus Rashford']",18,48
