,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[88, 490]","[9, 8, 484, 142, 90]","[275, 199, 122, 364, 367]","[480, 372, 23]",16,73
1,"['Neil Etheridge', 'Joe Hart']","['Calum Chambers', 'Sead Kolasinac', 'Lucas Digne', 'Patrick van Aanholt', 'Sean Morrison']","['Leroy Sané', 'Aaron Mooy', 'Eden Hazard', 'Christian Eriksen', 'Heung-Min Son']","['Aleksandar Mitrovic', 'Harry Kane', 'Pierre-Emerick Aubameyang']",16,73
