,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[490, 178]","[484, 425, 483, 332, 115]","[122, 270, 233, 271, 124]","[280, 306, 22]",7,89
1,"['Joe Hart', 'Marcus Bettinelli']","['Lucas Digne', 'Matt Doherty', 'Jonathan Castro Otto', 'Cédric Soares', 'Marcos Alonso']","['Eden Hazard', 'Raheem Sterling', 'James Maddison', 'David Silva', 'Willian Borges Da Silva']","['Sergio Agüero', 'Romelu Lukaku', 'Alexandre Lacazette']",7,89
