,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[400, 509]","[247, 484, 115, 402, 403]","[122, 172, 233, 393, 591]","[257, 234, 326]",33,75
1,"['Lukasz Fabianski', 'Sergio Rico']","['Andrew Robertson', 'Lucas Digne', 'Marcos Alonso', 'Aaron Cresswell', 'Angelo Ogbonna']","['Eden Hazard', 'Gylfi Sigurdsson', 'James Maddison', 'Richarlison de Andrade', 'Youri Tielemans']","['Roberto Firmino', 'Jamie Vardy', 'Ayoze Pérez']",33,75
