,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[282, 191]","[221, 31, 484, 116, 27]","[302, 253, 270, 534, 40]","[305, 257, 372]",23,69
1,"['David de Gea', 'Jonas Lössl']","['Ricardo Domingos Barbosa Pereira', 'Nathan Aké', 'Lucas Digne', 'David Luiz Moreira Marinho', 'Steve Cook']","['Paul Pogba', 'Mohamed Salah', 'Raheem Sterling', 'Dwight McNeil', 'Ryan Fraser']","['Marcus Rashford', 'Roberto Firmino', 'Harry Kane']",23,69
