,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[1, 474]","[267, 72, 378, 162, 115]","[253, 251, 365, 391, 40]","[280, 43, 480]",4,57
1,"['Petr Cech', 'Fabricio Agosto Ramírez']","['Benjamin Mendy', 'James Tarkowski', 'José Holebas', 'Michael Keane', 'Marcos Alonso']","['Mohamed Salah', 'Sadio Mané', 'Bamidele Alli', 'Roberto Pereyra', 'Ryan Fraser']","['Sergio Agüero', 'Callum Wilson', 'Aleksandar Mitrovic']",4,57
