,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[191, 509]","[221, 484, 142, 31, 245]","[302, 122, 367, 465, 253]","[305, 257, 372]",22,68
1,"['Jonas Lössl', 'Sergio Rico']","['Ricardo Domingos Barbosa Pereira', 'Lucas Digne', 'Patrick van Aanholt', 'Nathan Aké', 'Trent Alexander-Arnold']","['Paul Pogba', 'Eden Hazard', 'Heung-Min Son', 'Felipe Anderson Pereira Gomes', 'Mohamed Salah']","['Marcus Rashford', 'Roberto Firmino', 'Harry Kane']",22,68
