,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[47, 309]","[118, 220, 357, 4, 193]","[122, 172, 271, 318, 465]","[372, 417, 23]",10,58
1,"['Mathew Ryan', 'Martin Dubravka']","['Antonio Rüdiger', 'Harry Maguire', 'Kieran Trippier', 'Héctor Bellerín', 'Chris Löwe']","['Eden Hazard', 'Gylfi Sigurdsson', 'David Silva', 'Jonjo Shelvey', 'Felipe Anderson Pereira Gomes']","['Harry Kane', 'Marko Arnautovic', 'Pierre-Emerick Aubameyang']",10,58
