,goalkeepers,defenders,midfielders,forwards,gameweek,score
0,"[490, 88]","[115, 357, 5, 72, 7]","[271, 253, 122, 478, 125]","[306, 281, 480]",5,59
1,"['Joe Hart', 'Neil Etheridge']","['Marcos Alonso', 'Kieran Trippier', 'Nacho Monreal', 'James Tarkowski', 'Shkodran Mustafi']","['David Silva', 'Mohamed Salah', 'Eden Hazard', 'André Schürrle', 'Pedro Rodríguez Ledesma']","['Romelu Lukaku', 'Gabriel Fernando de Jesus', 'Aleksandar Mitrovic']",5,59
