,Position,first_name,second_name,team,player_id
173,3,Bakary,Sako,6,130
174,3,Andros,Townsend,6,131
175,3,Luka,Milivojevic,6,132
176,4,Connor,Wickham,6,133
177,4,Christian,Benteke,6,134
178,2,Mamadou,Sakho,6,221
179,2,Timothy,Fosu-Mensah,6,269
180,2,Jairo,Riedewald,6,482
181,3,Jason,Lokilo,6,491
182,4,Olayinka Fredrick Oladotun,Ladapo,6,505
183,3,Sullay,Kaikai,6,515
184,4,Keshi,Anderson,6,528
185,3,Levi,Lumeka,6,544
186,3,Jordon,Mutch,6,552
187,1,Dion,Henry,6,555
188,3,Aaron,Wan-Bissaka,6,579
189,2,Jaroslaw,Jach,6,605
190,3,Erdal,Rakip,6,606
191,4,Alexander,Sørloth,6,620
192,3,Nya,Kirby,6,630
193,1,Diego,Cavalieri,6,633
194,4,James,Daly,6,638
195,3,Theo,Walcott,7,15
196,1,Jordan,Pickford,7,135
197,1,Joel,Robles,7,136
198,1,Maarten,Stekelenburg,7,137
199,2,Leighton,Baines,7,138
200,2,Seamus,Coleman,7,139
201,2,Phil,Jagielka,7,140
202,2,Matthew,Pennington,7,141
203,2,Ramiro,Funes Mori,7,142
204,2,Ashley,Williams,7,143
205,2,Mason,Holgate,7,144
206,2,Jonjoe,Kenny,7,145
207,2,Michael,Keane,7,146
208,3,Yannick,Bolasie,7,147
209,3,Kevin,Mirallas,7,148
210,3,James,McCarthy,7,150
211,3,Muhamed,Besic,7,152
212,3,Morgan,Schneiderlin,7,154
213,3,Idrissa,Gueye,7,155
214,3,Tom,Davies,7,156
215,3,Ademola,Lookman,7,157
216,3,Davy,Klaassen,7,158
217,4,Dominic,Calvert-Lewin,7,159
218,4,Sandro,Ramírez,7,160
219,4,Wayne,Rooney,7,161
220,3,Gylfi,Sigurdsson,7,359
221,2,Cuco,Martina,7,464
222,2,Eliaquim,Mangala,7,502
223,3,Nikola,Vlasic,7,539
224,4,Oumar,Niasse,7,548
225,3,Beni,Baningime,7,563
226,4,Cenk,Tosun,7,592
227,2,Luke,Garbutt,7,629
228,1,Joel,Coleman,8,162
229,1,Jonas,Lössl,8,163
230,2,Christopher,Schindler,8,164
231,2,Chris,Löwe,8,165
232,2,Tommy,Smith,8,166
233,2,Michael,Hefele,8,167
234,2,Martin,Cranie,8,168
235,2,Jon Gorenc,Stankovic,8,169
236,2,Mark,Hudson,8,170
237,2,Mathias,Jorgensen,8,171
238,3,Aaron,Mooy,8,172
239,3,Rajiv,van La Parra,8,173
240,3,Jonathan,Hogg,8,174
241,3,Philip,Billing,8,175
242,3,Joe,Lolley,8,176
243,3,Jack,Payne,8,177
244,3,Dean,Whitehead,8,178
245,3,Harry,Bunn,8,179
246,3,Sean,Scannell,8,180
247,3,Elias,Kachunga,8,181
248,3,Tom,Ince,8,182
249,3,Danny,Williams,8,184
250,4,Collin,Quaner,8,186
251,4,Laurent,Depoitre,8,187
252,4,Steve,Mounie,8,188
253,2,Scott,Malone,8,462
254,2,Florent,Hadergjonaj,8,521
255,3,Abdelhamid,Sabiri,8,522
256,1,Robert,Green,8,547
257,2,Terence,Kongolo,8,591
258,3,Alex,Pritchard,8,593
259,1,Kasper,Schmeichel,9,189
260,1,Ben,Hamer,9,190
261,2,Wes,Morgan,9,191
262,2,Christian,Fuchs,9,192
263,2,Danny,Simpson,9,193
264,2,Robert,Huth,9,194
265,2,Yohan,Benalouane,9,195
266,2,Benjamin,Chilwell,9,196
267,2,Harry,Maguire,9,198
268,3,Riyad,Mahrez,9,199
269,3,Marc,Albrighton,9,200
270,3,Demarai,Gray,9,203
271,3,Daniel,Amartey,9,204
272,3,Nampalys,Mendy,9,205
273,3,Wilfred,Ndidi,9,206
274,3,Ahmed,Musa,9,207
275,3,Vicente,Iborra,9,208
276,4,Jamie,Vardy,9,209
277,4,Shinji,Okazaki,9,211
278,4,Kelechi,Iheanacho,9,258
279,1,Eldin,Jakupovic,9,473
280,3,Matty,James,9,474
281,2,Aleksandar,Dragovic,9,541
282,3,Hamza,Choudhury,9,571
283,3,George,Thomas,9,587
284,3,Adrien Sebastian,Perruchet Silva,9,589
285,4,Fousseni,Diabaté,9,601
286,3,Harvey,Barnes,9,642
287,2,Sam,Hughes,9,645
288,2,Layton,Ndukwu,9,647
289,3,Alex,Oxlade-Chamberlain,10,19
290,1,Simon,Mignolet,10,213
291,1,Loris,Karius,10,214
292,2,Dejan,Lovren,10,215
293,2,Alberto,Moreno,10,216
294,2,Nathaniel,Clyne,10,217
295,2,Joseph,Gomez,10,218
296,2,Joel,Matip,10,219
297,2,Ragnar,Klavan,10,220
298,2,James,Milner,10,222
299,2,Trent,Alexander-Arnold,10,223
300,3,Leiva,Lucas,10,224
301,3,Jordan,Henderson,10,225
302,3,Philippe,Coutinho,10,226
303,3,Emre,Can,10,227
304,3,Adam,Lallana,10,228
305,3,Oluwaseyi,Ojo,10,229
306,3,Sadio,Mané,10,230
307,3,Marko,Grujic,10,231
308,3,Georginio,Wijnaldum,10,232
309,3,Ben,Woodburn,10,233
310,3,Mohamed,Salah,10,234
311,4,Roberto,Firmino,10,235
312,4,Danny,Ings,10,237
313,4,Divock,Origi,10,238
314,4,Dominic,Solanke,10,239
315,2,Virgil,van Dijk,10,311
316,2,Andrew,Robertson,10,475
317,2,Jon,Flanagan,10,514
318,1,Danny,Ward,10,530
319,2,Conor,Masterson,10,639
320,3,Curtis,Jones,10,640
321,3,Rafael,Camacho,10,641
322,1,Ederson,Santana de Moraes,11,240
323,1,Claudio,Bravo,11,241
324,2,John,Stones,11,242
325,2,Aleksandar,Kolarov,11,243
326,2,Vincent,Kompany,11,244
327,2,Nicolás,Otamendi,11,245
328,3,Fabian,Delph,11,246
329,3,Raheem,Sterling,11,247
330,3,David,Silva,11,248
331,3,Gnegneri Yaya,Touré,11,249
332,3,Fernando,Luiz Rosa,11,250
333,3,Fernando Francisco,Reges,11,251
334,3,Kevin,De Bruyne,11,252
335,3,Ilkay,Gündogan,11,253
336,3,Manuel,Agudo Durán,11,254
337,3,Leroy,Sané,11,255
338,3,Bernardo Mota,Veiga de Carvalho e Silva,11,256
339,4,Sergio,Agüero,11,257
340,4,Gabriel Fernando,de Jesus,11,259
341,2,Kyle,Walker,11,379
342,2,Danilo Luiz,da Silva,11,483
343,2,Benjamin,Mendy,11,484
344,3,Phil,Foden,11,492
345,3,Brahim,Diaz,11,493
346,3,Oleksandr,Zinchenko,11,551
347,2,Oluwatosin,Adarabioyo,11,586
348,2,Aymeric,Laporte,11,612
349,4,Lukas,Nmecha,11,627
350,3,Alexis,Sánchez,12,14
351,3,Nemanja,Matic,12,107
352,1,David,De Gea,12,260
353,1,Sergio,Romero,12,261
354,1,Joel Dinis,Castro Pereira,12,262
355,2,Chris,Smalling,12,263
356,2,Phil,Jones,12,264
357,2,Luke,Shaw,12,265
358,2,Marcos,Rojo,12,266
359,2,Antonio,Valencia,12,267
360,2,Matteo,Darmian,12,268
361,2,Daley,Blind,12,270
362,2,Eric,Bailly,12,271
363,2,Axel,Tuanzebe,12,272
364,2,Victor,Lindelöf,12,273
365,3,Juan,Mata,12,274
366,3,Marouane,Fellaini,12,275
367,3,Michael,Carrick,12,276
368,3,Ashley,Young,12,277
369,3,Ander,Herrera,12,278
370,3,Jesse,Lingard,12,279
371,3,Anthony,Martial,12,280
372,3,Paul,Pogba,12,282
373,3,Scott,McTominay,12,283
374,4,Marcus,Rashford,12,284
375,4,Romelu,Lukaku,12,285
376,3,Andreas,Pereira,12,476
377,4,Zlatan,Ibrahimovic,12,523
378,3,Robert Kenedy,Nunes do Nascimento,13,110
379,4,Islam,Slimani,13,212
380,1,Robert,Elliot,13,286
381,1,Karl,Darlow,13,287
382,2,DeAndre,Yedlin,13,288
383,2,Ciaran,Clark,13,289
384,2,Jamaal,Lascelles,13,290
385,2,Paul,Dummett,13,291
386,2,Grant,Hanley,13,292
387,2,Jesús,Gámez Duarte,13,293
388,2,Florian,Lejeune,13,294
389,3,Matt,Ritchie,13,295
390,3,Jonjo,Shelvey,13,296
391,3,Yoan,Gouffran,13,297
392,3,Mohamed,Diamé,13,298
393,3,Jack,Colback,13,299
394,3,Christian,Atsu,13,300
395,4,Dwight,Gayle,13,301
396,4,Ayoze,Pérez,13,302
397,4,Aleksandar,Mitrovic,13,303
398,4,Daryl,Murphy,13,304
399,2,Massadio,Haidara,13,465
400,3,Siem,de Jong,13,466
401,3,Rolando,Aarons,13,467
402,2,Javier,Manquillo,13,477
403,3,Jacob,Murphy,13,478
404,4,Jose Luis,Mato Sanmartín,13,488
405,2,Chancel,Mbemba,13,494
406,3,Mikel,Merino,13,495
407,3,Isaac,Hayden,13,496
408,3,Henri,Saivet,13,516
409,1,Freddie,Woodman,13,529
410,1,Martin,Dubravka,13,621
411,1,Alex,McCarthy,14,305
412,1,Fraser,Forster,14,306
413,2,Ryan,Bertrand,14,307
414,2,Maya,Yoshida,14,308
415,2,Matt,Targett,14,309
416,2,Cédric,Soares,14,310
417,2,Jérémy,Pied,14,312
418,2,Jack,Stephens,14,313
419,2,Sam,McQueen,14,314
420,2,Jan,Bednarek,14,315
421,3,Steven,Davis,14,316
422,3,James,Ward-Prowse,14,317
423,3,Dusan,Tadic,14,318
424,3,Jordy,Clasie,14,319
425,3,Oriol,Romeu Vidal,14,320
426,3,Pierre-Emile,Højbjerg,14,321
427,3,Sofiane,Boufal,14,322
428,3,Joshua,Sims,14,323
429,3,Nathan,Redmond,14,324
430,4,Shane,Long,14,325
431,4,Charlie,Austin,14,326
432,4,Manolo,Gabbiadini,14,327
433,3,Mario,Lemina,14,500
434,1,Stuart,Taylor,14,506
435,2,Wesley,Hoedt,14,525
436,4,Michael,Obafemi,14,603
437,4,Guido,Carrillo,14,607
438,2,Kurt,Zouma,15,99
439,1,Jack,Butland,15,328
440,1,Lee,Grant,15,329
441,2,Ryan,Shawcross,15,330
442,2,Geoff,Cameron,15,331
443,2,Erik,Pieters,15,332
444,2,Marc,Muniesa,15,333
445,2,Glen,Johnson,15,335
446,2,Josh,Tymon,15,336
447,3,Joe,Allen,15,337
448,3,Charlie,Adam,15,338
449,3,Glenn,Whelan,15,339
450,3,Ibrahim,Afellay,15,341
451,3,Xherdan,Shaqiri,15,342
452,3,Giannelli,Imbula,15,343
453,3,Bojan,Krkic Perez,15,344
454,3,Ramadan,Sobhi,15,345
455,3,Darren,Fletcher,15,346
456,4,Peter,Crouch,15,347
457,4,Mame Biram,Diouf,15,348
458,4,Saido,Berahino,15,349
459,2,Kevin,Wimmer,15,383
460,3,Eric Maxim,Choupo-Moting,15,497
461,3,Jesé,Rodríguez Ruiz,15,512
462,2,Bruno,Martins Indi,15,513
463,2,Harry,Souttar,15,550
464,2,Thomas,Edwards,15,556
465,4,Julien,Ngoy,15,562
466,1,Jakob,Haugaard,15,569
467,3,Stephen,Ireland,15,590
468,2,Moritz,Bauer,15,594
469,2,Konstantinos,Stafylidis,15,599
470,3,Papa Alioune,Ndiaye,15,619
471,4,Tyrese,Campbell,15,628
472,3,Lasse,Sorenson,15,637
473,3,Andy,King,16,201
474,1,Lukasz,Fabianski,16,350
475,1,Kristoffer,Nordfeldt,16,351
476,2,Kyle,Naughton,16,352
