,first_name,second_name,team,player_id
605,Rúben Gonçalo,Silva Nascimento Vinagre,20,431
606,Diogo,Jota,20,432
607,Rúben Diogo,da Silva Neves,20,433
608,Ivan,Cavaleiro,20,434
609,Hélder,Costa,20,435
610,Bright,Enobakhare,20,436
611,Raúl,Jiménez,20,437
612,Bonatini Lohner Maia,Bonatini,20,438
613,Morgan,Gibbs-White,20,448
614,Rafa,Mir,20,449
615,Rui Pedro,dos Santos Patrício,20,454
616,João Filipe Iria,Santos Moutinho,20,475
617,Jonathan,Castro Otto,20,483
618,Adama,Traoré,20,500
619,Leander,Dendoncker,20,519
620,Kortney,Hause,20,525
621,Ryan John,Giles,20,555
622,Max,Kilman,20,567
623,Cameron,John,20,596
